brand_name,car_name,car_source_city_name,official_price,sh_price,transfer_cnt,car_year,car_mileage
斯柯达,TSI280 DSG前行版,郑州,14.98万,6.26万,0,2017年,4.89万公里
奥迪,Sportback 35 TFSI 时尚型 国V,济南,21.28万,7.98万,1,2019年,8.30万公里
哈弗,第二代 2.0GDIT 自动冠军版,昆明,12.90万,6.98万,0,2021年,5.90万公里
日产,1.6XV CVT智联尊享版 国VI,东莞,14.03万,4.68万,0,2019年,8.20万公里
宝马,xDrive25i 豪华套装,烟台,38.98万,24.28万,0,2021年,3.56万公里
奔驰,E 200 L 运动型 4MATIC,上海,45.98万,17.38万,0,2017年,10万公里
大众,330TSI 豪华版 国VI,西安,23.79万,10.99万,0,2019年,4.40万公里
丰田,2.0G 十周年纪念领先版,南宁,19.58万,7.38万,1,2017年,10万公里
奥迪,30 TFSI 自动舒适型,成都,29.10万,8.58万,2,2016年,10.70万公里
本田,240TURBO 两驱豪华版,东莞,25.38万,11.69万,0,2019年,7.50万公里
奥迪,30 FSI 舒适型,济南,46.87万,9.98万,0,2014年,15万公里
红旗,2.0T 智联旗享版,深圳,32.98万,17.93万,0,2020年,4.63万公里
大众,330TSI DSG 领先型 国V,济南,21.51万,10.80万,0,2019年,4.30万公里
宝马,xDrive30i M运动套装,北京,69.99万,40.88万,0,2020年,3万公里
吉利汽车,1.4T CVT  F-运动版,苏州,9.18万,4.60万,0,2021年,2.80万公里
荣威,300TGI 自动爽酷智驾版,长春,11.88万,5.97万,0,2021年,4.87万公里
本田,1.5L 自动精英版,沈阳,10.98万,3.70万,0,2014年,10.54万公里
奔驰,V 260 L 长轴距豪华版,上海,64.68万,37.83万,0,2021年,1万公里
奥迪,35TFSI 进取动感型,成都,21.88万,10.98万,0,2021年,3.40万公里
宝马,220i 敞篷轿跑车 领先型,杭州,37.10万,13.98万,1,2016年,8.10万公里
奇瑞,鲲鹏版 290TGDI 自动扶摇版,石家庄,13.49万,8.98万,0,2022年,1.87万公里
起亚,380T GT-Line 焕新版,武汉,19.68万,9.88万,0,2020年,5.90万公里
吉利银河,1.5T DHT 115km 星舰,武汉,17.37万,11.58万,0,2023年,1.22万公里
理想汽车,增程6座版,杭州,34.98万,18.98万,1,2022年,3万公里
三菱,3.0L 自动尊贵版 国V,深圳,42.98万,16.28万,1,2018年,8.80万公里
哈弗,1.5L AMT豪华型,徐州,7.79万,2.63万,0,2015年,4.32万公里
比亚迪,1.5L 自动酷炫互联型,广州,7.99万,3.68万,1,2018年,6.66万公里
smart,Pro+,南京,20.92万,14.88万,1,2022年,3.45万公里
大众,330TSI 自动两驱旗舰版,郑州,27.68万,9.38万,0,2017年,5.70万公里
长安,PLUS 蓝鲸NE 1.4T GDI DCT尊贵型,成都,9.39万,4.35万,0,2021年,0.93万公里
smart,1.0L 52千瓦激情版,青岛,13.58万,5.18万,3,2017年,8.25万公里
五菱汽车,1.5L 舒适型,上海,5.78万,1.25万,0,2013年,8万公里
日产,电驱版e-POWER 超智联PLUS,佛山,14.99万,7.58万,0,2022年,3.80万公里
奔驰,B 200 动感型,石家庄,25.98万,10.98万,0,2020年,6.20万公里
大众,280TSI 自动舒雅版,石家庄,19.98万,6.78万,0,2016年,6万公里
日产,1.6L CVT酷动版,唐山,11.39万,6.69万,0,2021年,1.78万公里
宝马,改款 320Li M运动套装,南宁,31.89万,21.38万,0,2022年,1.03万公里
广汽传祺,270T J16苏神限量版,苏州,13.18万,7.20万,0,2022年,3.20万公里
吉利汽车,第4代 1.5L CVT豪华型,苏州,7.89万,4.30万,0,2022年,3.20万公里
红旗,2.0T 智联旗享乐购版,南昌,19.68万,12.38万,0,2022年,2.61万公里
沃尔沃,B5 四驱智远豪华版,北京,42.59万,23.20万,0,2021年,1.10万公里
本田,1.5L CVT舒适版,南昌,13.99万,7.65万,1,2021年,3.73万公里
保时捷,Panamera 4 Platinum Edition 3.6L,北京,129.20万,27.98万,0,2013年,8.50万公里
日产,2.0L XL Upper AD1 智行领航版,苏州,19.98万,10.93万,0,2021年,4.02万公里
马自达,三厢 1.5L 自动豪华型 国V,长春,13.99万,6.48万,1,2019年,2.75万公里
奥迪,Limousine 35 TFSI 时尚型 国V,郑州,21.97万,11.98万,0,2020年,2.70万公里
马自达,2.0L 自动两驱蓝天活力版 国V,沈阳,15.28万,5.80万,0,2018年,9万公里
奥迪,30 FSI 豪华型,哈尔滨,50.66万,8.90万,0,2013年,20万公里
路虎,249PS R-Dynamic SE 性能科技版 7座,呼和浩特,42.28万,19.58万,0,2021年,6.80万公里
宝马,320i M运动套装,成都,35.98万,19.60万,0,2021年,3.30万公里
日产,1.6L CVT智能型,汕头,12.53万,2.70万,1,2012年,10万公里
宾利,4.0T GT V8 标准版,苏州,304.80万,103.80万,0,2017年,4.20万公里
丰田,双擎 1.8H GS CVT精英天窗版,杭州,14.18万,5.98万,0,2017年,5.80万公里
林肯,i享 尊耀版,成都,34.08万,19.97万,1,2022年,0.90万公里
大众,1.6 自动舒适型,沧州,13.28万,3.98万,1,2013年,9.67万公里
吉利汽车,2.0TD DCT EVO两驱智尊型,商丘,16.32万,11.62万,0,2022年,2.03万公里
奔驰,C 200 旅行轿车,长春,41.90万,15.97万,0,2016年,5.11万公里
宝马,320i 时尚型,杭州,35.98万,16.68万,0,2019年,3.40万公里
大众,280TSI DSG舒适版,商丘,18.49万,7.18万,0,2018年,8.82万公里
宝马,320Li M运动型,佛山,35.39万,10.88万,0,2017年,8.90万公里
奔驰,CLA 200 时尚型,上海,28.60万,10.00万,1,2016年,2.75万公里
丰田,1.2T S-CVT GL先锋版,沈阳,11.98万,5.69万,0,2019年,7.38万公里
吉利汽车,领军版 1.5L CVT向上亚运版 国VI,惠州,9.18万,3.98万,0,2019年,4.60万公里
奥迪,40 TFSI 时尚动感型,佛山,30.58万,17.03万,0,2022年,1.27万公里
宝马,520Li 典雅型,青岛,43.56万,11.68万,0,2015年,11万公里
奥迪,35 TFSI 时尚致雅型,成都,28.78万,16.00万,1,2021年,0.96万公里
奔驰,改款 C 260 L 运动版,合肥,34.68万,17.88万,0,2020年,3.20万公里
宝马,730Li 领先型 M运动套装,苏州,80.80万,24.99万,0,2017年,16万公里
奥迪,A8L 50 TFSI quattro 舒适型典藏版,石家庄,85.88万,51.60万,0,2021年,1.50万公里
奥迪,30周年年型 TFSI 进取型,石家庄,40.28万,17.60万,2,2017年,5.98万公里
日产,2.0L CVT智联舒适版 2WD,佛山,19.93万,8.68万,0,2019年,4.98万公里
哈弗,2.0T 两驱i范,石家庄,14.38万,6.28万,0,2020年,4.40万公里
凯迪拉克,28T 技术型,合肥,29.99万,11.80万,0,2018年,3.95万公里
长安,尚酷版 1.5T 手动锋享型,菏泽,8.88万,3.88万,0,2019年,3.59万公里
奥迪,35 TFSI 时尚致雅型,杭州,28.68万,13.68万,0,2020年,3万公里
奔驰,GLC 300 4MATIC 动感型,北京,48.60万,17.18万,1,2016年,7万公里
奥迪,35 TFSI 进取动感型,东莞,27.43万,15.38万,0,2021年,3.22万公里
马自达,云控版 三厢 1.5L 自动舒适型 国VI,青岛,12.39万,5.90万,0,2019年,2.66万公里
宝马,创领型,长沙,44.50万,24.38万,0,2023年,0.80万公里
大众,330TSI 自动两驱豪华版,苏州,25.98万,9.98万,1,2018年,10.03万公里
奔驰,CLA 200 动感型,青岛,25.68万,9.88万,3,2018年,7.79万公里
马自达,2.0L 自动两驱智享型 国V,杭州,19.98万,7.68万,0,2018年,4.50万公里
奥迪,TFSI 标准型,杭州,40.98万,8.99万,1,2014年,10万公里
日产,1.5L CVT智行版,青岛,12.98万,4.98万,1,2018年,2.90万公里
丰田,1.6L 自动GL,东莞,13.18万,2.88万,0,2012年,7.60万公里
红旗,2.0T 智联旗享版,石家庄,32.98万,18.13万,2,2021年,6.88万公里
